operation_id,date,month,operation_type,amount,signed_amount,counterparty,description,raw_credit,raw_debit,raw_date,date_parse_source,category_rule,subcategory_rule,rule_confidence,rule_reason,category_llm,subcategory_llm,llm_confidence,llm_reason,llm_error,category_final,subcategory_final,category_group,category_source,category_confidence,needs_review,review_reason,cash_flow_section
1,2025-05-01,2025-05,debit,1690.0,-1690.0,"АО ""АЛЬФА-БАНК""","Комиссия за обсл.счета за период с 01.04.25 по 30.04.25 по ПУ ""Активный бизнес"" Осн.тарифы Банка,НДС не облаг. ООО ""СЛАДКИЙ ГОРОДОК""",0.0,1690.0,2025-05-01,operation_date:iso_%Y-%m-%d,Банковские комиссии и эквайринг,неизвестно,0.96,банковская комиссия,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Банковские комиссии и эквайринг,неизвестно,Операционные платежи,rule,0.96,False,,operating_outflow
2,2025-05-05,2025-05,credit,16857.6,16857.6,"ООО ""ТОРГСЕРВИС 71""",Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Тула Парковая 7а. Сумма 16857-60 В т.ч. НДС(10%) 1532-51,16857.6,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
3,2025-05-05,2025-05,credit,6693.2,6693.2,"ООО ""ТОРГСЕРВИС 71""",Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Тула Скуратовская 100А. Сумма 6693-20 В т.ч. НДС(10%) 608-47,6693.2,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
4,2025-05-05,2025-05,credit,5800.0,5800.0,"ООО ""ТОРГСЕРВИС 71"" p/c 40702810866000016175 ТУЛЬСКОЕ ОТДЕЛЕНИЕ N8604 ПАО СБЕРБАНК г.Тула",Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Алексин Тульская зд 141 к1. Сумма 5800-00 В т.ч. НДС(10%) 527-27,5800.0,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
5,2025-05-05,2025-05,credit,1400.0,1400.0,"ООО ""ТОРГСЕРВИС 150"" p/c 40702810140000078025 ПАО СБЕРБАНК г.Москва",Оплата за товар согласно договору поставки № ТС150/25-241ПМСК от 31.12.2024 Волоколамск Спасс Центральная стр12бСумма 1400-00В т.ч. НДС(10%) 127-27,1400.0,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
6,2025-05-05,2025-05,credit,2400.0,2400.0,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810540000064309 ПАО СБЕРБАНК г.Москва",Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Воскресенск Гаражная 1ГСумма 2400-00В т.ч. НДС(10%) 218-18,2400.0,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
7,2025-05-05,2025-05,credit,9600.0,9600.0,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810940000066981 ПАО СБЕРБАНК г.Москва",Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Серпухов Заводской пр 40Сумма 9600-00В т.ч. НДС(10%) 872-73,9600.0,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
8,2025-05-05,2025-05,credit,11400.0,11400.0,"ООО ""ТОРГСЕРВИС 71"" p/c 40702810166000014673 ТУЛЬСКОЕ ОТДЕЛЕНИЕ N8604 ПАО СБЕРБАНК г.Тула",Оплата за товар согласно договору поставки № тс71/2025-6 от 20.11.2024 Одоев 50 лет Октября. Сумма 11400-00 В т.ч. НДС(10%) 1036-36,11400.0,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
9,2025-05-05,2025-05,credit,2600.0,2600.0,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810340000064305 ПАО СБЕРБАНК г.Москва",Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Руза Социалистическая 78аСумма 2600-00В т.ч. НДС(10%) 236-36,2600.0,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
10,2025-05-05,2025-05,credit,2200.0,2200.0,"ООО ""ТОРГСЕРВИС 50"" p/c 40702810440000063112 ПАО СБЕРБАНК г.Москва",Оплата за товар согласно договору поставки № ТС50/25-241ПМСК от 31.12.2024 Посад Павловский Интернациональная 55 стр 1Сумма 2200-00В т.ч. НДС(10%) 200-00,2200.0,0.0,2025-05-05,operation_date:iso_%Y-%m-%d,Выручка от клиентов,оплата,0.86,поступление от клиента,Неизвестно / требуется проверка,неизвестно,0.0,,not_requested,Выручка от клиентов,оплата,Операционные поступления,rule_low_confidence,0.86,False,,operating_inflow
